# time                 amplitude              uBulk                  uAxis                  tauWall                
+6.0313002157231e+00   +3.8090507473656e+00   +1.4839686330654e+00   +2.5987361560467e+00   +7.2298756718930e-02   
+6.0329732532310e+00   +3.8100086373346e+00   +1.4780793253351e+00   +2.5923568686503e+00   +7.2401715521014e-02   
+6.0346462907388e+00   +3.8109641770988e+00   +1.4721891058512e+00   +2.5859759821579e+00   +7.2504629662081e-02   
+6.0363193282466e+00   +3.8119173660689e+00   +1.4662979782471e+00   +2.5795935005056e+00   +7.2607499078651e-02   
+6.0379923657544e+00   +3.8128682036568e+00   +1.4604059461567e+00   +2.5732094276304e+00   +7.2710323707266e-02   
+6.0396654032623e+00   +3.8138166892760e+00   +1.4545130132146e+00   +2.5668237674703e+00   +7.2813103484501e-02   
+6.0413384407701e+00   +3.8147628223415e+00   +1.4486191830557e+00   +2.5604365239644e+00   +7.2915838346956e-02   
+6.0430114782779e+00   +3.8157066022696e+00   +1.4427244593158e+00   +2.5540477010526e+00   +7.3018528231257e-02   
+6.0446845157858e+00   +3.8166480284781e+00   +1.4368288456309e+00   +2.5476573026758e+00   +7.3121173074062e-02   
+6.0463575532936e+00   +3.8175871003864e+00   +1.4309323456378e+00   +2.5412653327760e+00   +7.3223772812053e-02   
+6.0480305908014e+00   +3.8185238174152e+00   +1.4250349629738e+00   +2.5348717952961e+00   +7.3326327381943e-02   
+6.0497036283092e+00   +3.8194581789866e+00   +1.4191367012765e+00   +2.5284766941799e+00   +7.3428836720469e-02   
+6.0513766658171e+00   +3.8203901845243e+00   +1.4132375641845e+00   +2.5220800333722e+00   +7.3531300764400e-02   
+6.0530497033249e+00   +3.8213198334534e+00   +1.4073375553365e+00   +2.5156818168188e+00   +7.3633719450530e-02   
+6.0547227408327e+00   +3.8222471252004e+00   +1.4014366783720e+00   +2.5092820484665e+00   +7.3736092715682e-02   
+6.0563957783406e+00   +3.8231720591933e+00   +1.3955349369310e+00   +2.5028807322630e+00   +7.3838420496707e-02   
+6.0580688158484e+00   +3.8240946348617e+00   +1.3896323346539e+00   +2.4964778721569e+00   +7.3940702730485e-02   
+6.0597418533562e+00   +3.8250148516363e+00   +1.3837288751817e+00   +2.4900734720978e+00   +7.4042939353922e-02   
+6.0614148908640e+00   +3.8259327089496e+00   +1.3778245621561e+00   +2.4836675360362e+00   +7.4145130303954e-02   
